날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1/1/00,143,4.7,0,8.5
1/2/00,143,6.5,3.1,11.5
1/3/00,143,2.9,0,6.8
1/4/00,143,2.3,-2.4,7.5
1/5/00,143,4.9,-0.9,9.4
1/6/00,143,6,1.2,9.6
1/7/00,143,-1.7,-4,1.2
1/8/00,143,-0.5,-5.3,4.1
1/9/00,143,0,-1.6,1.9
1/10/00,143,2.4,-1,6.8
1/11/00,143,2.4,-3.7,7.2
1/12/00,143,6.3,4.6,8.4
1/13/00,143,4.9,0.9,7.6
1/14/00,143,1.6,-0.1,5.6
1/15/00,143,1.1,-3.9,6.2
1/16/00,143,3.7,0.3,8.2
1/17/00,143,2.4,-2.6,7.3
1/18/00,143,3,0.6,6.8
1/19/00,143,-1.7,-4.1,0.7
1/20/00,143,-4.6,-6.7,-1.5
1/21/00,143,-3.6,-7.8,1.5
1/22/00,143,-1.6,-6.1,2
1/23/00,143,2.7,-0.6,6.8
1/24/00,143,2.8,0.8,5.7
1/25/00,143,-1.5,-5.2,2.4
1/26/00,143,-4.5,-7.3,-0.8
1/27/00,143,-2.7,-7.2,3
1/28/00,143,-0.7,-7.9,6.4
1/29/00,143,-0.1,-5.5,4.9
1/30/00,143,-0.4,-4.4,3.4
1/31/00,143,-3.8,-7.1,0.2
2/1/00,143,-2.6,-7.3,3.3
2/2/00,143,-0.8,-4.6,3.6
2/3/00,143,0.5,-2.4,4.4
2/4/00,143,1,-3.2,6.6
2/5/00,143,2.3,-5,7
2/6/00,143,3.6,1.6,5.9
2/7/00,143,1.6,-1.4,4.4
2/8/00,143,-3.4,-5.9,-0.2
2/9/00,143,-1.8,-6.9,4
2/10/00,143,1,-4,6.7
2/11/00,143,3.5,-0.1,8.3
2/12/00,143,4,-0.4,8.9
2/13/00,143,5,-1.4,10.6
2/14/00,143,3.7,-1.4,8.8
2/15/00,143,-2.2,-4.8,1.4
2/16/00,143,-1.8,-5.6,2.6
2/17/00,143,-0.8,-4.9,3.9
2/18/00,143,1.5,-3.5,6.4
2/19/00,143,4.1,-0.3,9.4
2/20/00,143,3.9,-0.2,8.4
2/21/00,143,1,-3.2,6.2
2/22/00,143,1.5,-2,5.9
2/23/00,143,3.7,-1.5,9.8
2/24/00,143,0.1,-2.8,3.8
2/25/00,143,0.2,-4.5,5.2
2/26/00,143,2.7,-0.1,7
